epoch,train_loss,val_loss,val_recon,val_kl
1,0.9208448812728975,0.7958330512046814,0.7919878959655762,3.845130205154419
2,0.5694425989214967,0.3866705894470215,0.3776039481163025,9.066641807556152
3,0.28974583745002747,0.24284586310386658,0.2325434684753418,10.302401542663574
4,0.21033498590312352,0.19803914427757263,0.1879126876592636,10.126456260681152
5,0.1785682928634853,0.17532223463058472,0.16557727754116058,9.744955062866211
6,0.15929189578789035,0.15734030306339264,0.14812268316745758,9.217622756958008
7,0.1453409278538169,0.14533424377441406,0.13636514544487,8.969093322753906
8,0.13424996113995227,0.13512785732746124,0.12635302543640137,8.774829864501953
9,0.1246662755019781,0.1285087615251541,0.12008495628833771,8.42380142211914
10,0.11768108933437162,0.11931335926055908,0.11102575808763504,8.287603378295898
11,0.1113824770763153,0.1131439357995987,0.10508526861667633,8.058670043945312
12,0.10582128839521873,0.10991502553224564,0.10208523273468018,7.829794883728027
13,0.10099415899049945,0.1069992259144783,0.09932591021060944,7.67331600189209
14,0.09774929839299946,0.09996536374092102,0.09241688996553421,7.548473358154297
15,0.09347076886674253,0.097240149974823,0.0898246318101883,7.415521144866943
16,0.08984491256315534,0.0938233733177185,0.08646388351917267,7.35949182510376
17,0.08709611989012579,0.09258534759283066,0.08543069660663605,7.15464973449707
18,0.0860437708111798,0.09013425558805466,0.08313728868961334,6.996963977813721
19,0.08374852768895102,0.08805396407842636,0.08116291463375092,6.891046047210693
20,0.08100557599852724,0.08576856553554535,0.07891242951154709,6.856135845184326
21,0.08003694845772372,0.08440002053976059,0.07766679674386978,6.733222484588623
22,0.07917326888660105,0.08275370299816132,0.07608696073293686,6.666745662689209
23,0.07745948615597516,0.08180402964353561,0.07526788860559464,6.53613805770874
24,0.07514313590235827,0.08000046759843826,0.07353213429450989,6.468335151672363
25,0.07403488002899217,0.07838020473718643,0.0719926506280899,6.387556552886963
26,0.07262932999831874,0.07799599319696426,0.07161806523799896,6.377928733825684
27,0.07130848171143997,0.0760607123374939,0.06980249285697937,6.258221626281738
28,0.0701345422464173,0.07513414323329926,0.06892350316047668,6.210639476776123
29,0.0690886163856925,0.07433125376701355,0.06818761676549911,6.143637180328369
30,0.06844510456047408,0.07380850613117218,0.06769619137048721,6.112311363220215
31,0.06759174009103601,0.0726286768913269,0.06665710359811783,5.971575736999512
32,0.0670192971734739,0.07208870351314545,0.06613925844430923,5.949441909790039
33,0.0663455266778062,0.07122943550348282,0.06530527770519257,5.924158573150635
34,0.06513574542250575,0.07079995423555374,0.06489956378936768,5.900388240814209
35,0.06462816589670937,0.06975920498371124,0.06395670771598816,5.802496433258057
36,0.06385143410141875,0.06908965855836868,0.06329606473445892,5.793590545654297
37,0.06366227721659148,0.0692235678434372,0.0634787306189537,5.744837760925293
38,0.06285667623870256,0.06804545223712921,0.06235603243112564,5.689419269561768
39,0.06217989466357522,0.0686868354678154,0.06303907185792923,5.647763729095459
40,0.0617524264153184,0.06777271628379822,0.062164630740880966,5.608083724975586
41,0.061445397256714544,0.06732093542814255,0.061770372092723846,5.550565242767334
42,0.06044441329815039,0.06690005213022232,0.06135034188628197,5.549710273742676
43,0.06008576229214668,0.06619942933320999,0.06069379672408104,5.505634784698486
44,0.059857617291372,0.0649624615907669,0.05950498208403587,5.457481861114502
45,0.059538537727260005,0.06535514444112778,0.05997004359960556,5.385100364685059
46,0.0588572144780944,0.06475082784891129,0.0593365803360939,5.414246559143066
47,0.05844457524760467,0.06414089351892471,0.058777496218681335,5.363396167755127
48,0.05800636512477223,0.06378959864377975,0.058417875319719315,5.371720314025879
49,0.05822919304596215,0.06316722929477692,0.05781160295009613,5.3556294441223145
50,0.057672799769334676,0.06339072436094284,0.05807460471987724,5.3161163330078125
